Date,Open,High,Low,Close,Adj Close,Volume
2021-08-24,305.019989,305.649994,302.000000,302.619995,300.743591,18175800
2021-08-25,304.299988,304.589996,300.420013,302.010010,300.137390,20006100
2021-08-26,300.989990,302.429993,298.950012,299.089996,297.235504,17666100
2021-08-27,298.989990,300.869995,296.829987,299.720001,297.861572,22605700
2021-08-30,301.119995,304.220001,301.059998,303.589996,301.707581,16348100
2021-08-31,304.420013,304.500000,301.500000,301.880005,300.008209,26285300
2021-09-01,302.869995,305.190002,301.489990,301.829987,299.958496,18983800
2021-09-02,302.200012,303.359985,300.179993,301.149994,299.282715,16285600
2021-09-03,300.989990,302.600006,300.260010,301.140015,299.272797,14747900
2021-09-07,301.010010,301.089996,298.200012,300.179993,298.318726,17180400
2021-09-08,299.779999,300.609985,297.470001,300.209991,298.348511,15046800
2021-09-09,300.820007,302.140015,297.000000,297.250000,295.406921,19927000
2021-09-10,298.420013,299.920013,295.380005,295.709991,293.876434,19633400
2021-09-13,297.549988,298.540009,294.079987,296.989990,295.148468,23652900
2021-09-14,299.559998,301.390015,298.100006,299.790009,297.931152,21853400
2021-09-15,303.260010,305.320007,301.820007,304.820007,302.929962,28356300
2021-09-16,303.760010,305.309998,300.760010,305.220001,303.327484,19550800
2021-09-17,304.170013,304.500000,299.529999,299.869995,298.010651,41372500
2021-09-20,296.329987,298.720001,289.519989,294.299988,292.475159,38278700
2021-09-21,295.690002,297.540009,294.070007,294.799988,292.972076,22364100
2021-09-22,296.730011,300.220001,294.510010,298.579987,296.728638,26626300
2021-09-23,298.850006,300.899994,297.529999,299.559998,297.702576,18604600
2021-09-24,298.230011,299.799988,296.929993,299.350006,297.493896,14999000
2021-09-27,296.140015,296.470001,292.940002,294.170013,292.346008,23571700
2021-09-28,289.799988,290.779999,282.750000,283.519989,281.762024,43186200
2021-09-29,285.100006,286.769989,283.010010,284.000000,282.239075,26353700
2021-09-30,285.709991,287.829987,281.619995,281.920013,280.171967,32343600
2021-10-01,282.119995,289.980011,281.290009,289.100006,287.307434,30086300
2021-10-04,287.399994,287.750000,280.250000,283.109985,281.354553,31350700
2021-10-05,284.049988,290.399994,284.049988,288.760010,286.969543,24993000
2021-10-06,285.779999,293.630005,285.510010,293.109985,291.292542,28002600
2021-10-07,295.179993,296.640015,293.920013,294.850006,293.021759,20430500
2021-10-08,296.220001,296.640015,293.760010,294.850006,293.021759,17685700
2021-10-11,292.920013,297.970001,292.750000,294.230011,292.405640,19298600
2021-10-12,295.339996,295.440002,292.350006,292.880005,291.063995,17974100
2021-10-13,294.910004,297.279999,293.489990,296.309998,294.472717,23416300
2021-10-14,299.209991,303.269989,297.829987,302.750000,300.872803,27262900
2021-10-15,302.339996,304.450012,300.519989,304.209991,302.323730,25384800
2021-10-18,303.570007,308.209991,302.690002,307.290009,305.384674,22729300
2021-10-19,308.350006,309.299988,307.220001,308.230011,306.318817,17682100
2021-10-20,309.209991,309.700012,306.109985,307.410004,305.503906,16537100
2021-10-21,307.170013,311.019989,306.359985,310.760010,308.833130,16918100
2021-10-22,310.399994,311.089996,307.799988,309.160004,307.243073,17449300
2021-10-25,309.359985,309.399994,306.459991,308.130005,306.219421,17554500
2021-10-26,311.000000,312.399994,308.600006,310.109985,308.187134,28107300
2021-10-27,316.000000,326.100006,316.000000,323.170013,321.166168,52588700
2021-10-28,324.329987,324.869995,321.359985,324.350006,322.338867,26297900
2021-10-29,324.130005,332.000000,323.899994,331.619995,329.563782,34766000
2021-11-01,331.359985,331.489990,326.369995,329.369995,327.327728,27073200
2021-11-02,330.309998,333.450012,330.000000,333.130005,331.064453,26487100
2021-11-03,333.899994,334.899994,330.649994,334.000000,331.929016,21500100
2021-11-04,332.890015,336.540009,329.510010,336.440002,334.353912,23992200
2021-11-05,338.510010,338.790009,334.420013,336.059998,333.976257,22570100
2021-11-08,337.299988,337.649994,334.440002,336.989990,334.900482,20897000
2021-11-09,337.109985,338.720001,334.529999,335.950012,333.866974,21307400
2021-11-10,334.570007,334.630005,329.920013,330.799988,328.748871,25500900
2021-11-11,331.250000,333.769989,330.510010,332.429993,330.368774,16849800
2021-11-12,333.920013,337.230011,333.790009,336.720001,334.632172,23831000
2021-11-15,337.540009,337.880005,334.029999,336.070007,333.986206,16723000
2021-11-16,335.679993,340.670013,335.510010,339.510010,337.404877,20886800
2021-11-17,338.940002,342.190002,338.000000,339.119995,337.633881,19053400
2021-11-18,338.179993,342.450012,337.119995,341.269989,339.774445,22463500
2021-11-19,342.640015,345.100006,342.200012,343.109985,341.606354,21963400
2021-11-22,344.619995,349.670013,339.549988,339.829987,338.340729,31031100
2021-11-23,337.049988,339.450012,333.559998,337.679993,336.200165,30427600
2021-11-24,336.279999,338.160004,333.910004,337.910004,336.429169,21661300
2021-11-26,334.350006,337.929993,328.119995,329.679993,328.235199,24217200
2021-11-29,334.940002,339.029999,334.739990,336.630005,335.154785,28563500
2021-11-30,335.320007,337.779999,328.989990,330.589996,329.141235,42885600
2021-12-01,335.130005,339.279999,329.390015,330.079987,328.633453,33337600
2021-12-02,330.299988,333.489990,327.799988,329.489990,328.046051,30766000
2021-12-03,331.989990,332.700012,318.029999,323.010010,321.594452,41779300
2021-12-06,323.950012,327.450012,319.230011,326.190002,324.760529,30032600
2021-12-07,331.640015,335.799988,330.100006,334.920013,333.452271,31021900
2021-12-08,335.309998,335.500000,330.799988,334.970001,333.502075,24761000
2021-12-09,334.410004,336.489990,332.119995,333.100006,331.640259,22214200
2021-12-10,334.980011,343.000000,334.790009,342.540009,341.038879,38095700
2021-12-13,340.679993,343.790009,339.079987,339.399994,337.912628,28899400
2021-12-14,333.220001,334.640015,324.109985,328.339996,326.901093,44438700
2021-12-15,328.609985,335.190002,324.500000,334.649994,333.183441,35381100
2021-12-16,335.709991,336.760010,323.019989,324.899994,323.476166,35034800
2021-12-17,320.880005,324.920013,317.250000,323.799988,322.380981,47750300
2021-12-20,320.049988,322.799988,317.570007,319.910004,318.508026,28326500
2021-12-21,323.290009,327.730011,319.799988,327.290009,325.855713,24740600
2021-12-22,328.299988,333.609985,325.750000,333.200012,331.739807,24831500
2021-12-23,332.750000,336.390015,332.730011,334.690002,333.223267,19617800
2021-12-27,335.459991,342.480011,335.429993,342.450012,340.949280,19947000
2021-12-28,343.149994,343.809998,340.320007,341.250000,339.754517,15661500
2021-12-29,341.299988,344.299988,339.679993,341.950012,340.451477,15042000
2021-12-30,341.910004,343.130005,338.820007,339.320007,337.832977,15994500
